# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   98       3.428413825665e-10       1.027369043000e-13      -2.858036403742e-12       4.318184468042e-16       1.142981679002e-11       1.598171964496e-12      -8.805672360711e-15 
   99       3.467769664679e-10       1.048597971745e-13      -2.946891783848e-12       4.407654945030e-16       1.113215235732e-11       1.564200813806e-12      -8.504050888186e-15 
  100       3.507400210795e-10       1.069682806623e-13      -3.036033307541e-12       4.498116260576e-16       1.084506628611e-11       1.531354096975e-12      -8.209097816486e-15 
  101       3.547296956374e-10       1.090600662693e-13      -3.125369513491e-12       4.589579258497e-16       1.056792982793e-11       1.499573550225e-12      -7.927353713109e-15 
  102       3.587449320811e-10       1.111328136001e-13      -3.214805706971e-12       4.682055411744e-16       1.029998415167e-11       1.468787068246e-12      -7.665813699655e-15 
  103       3.627844576291e-10       1.131841301527e-13      -3.304243925350e-12       4.775556836480e-16       1.004033629117e-11       1.438908263446e-12      -7.431937885210e-15 
  104       3.668470664425e-10       1.152116873221e-13      -3.393589783691e-12       4.870095111186e-16       9.788161641479e-12       1.409856094417e-12      -7.231948735168e-15 
  105       3.709325239400e-10       1.172135866966e-13      -3.482774139026e-12       4.965677522021e-16       9.543351329272e-12       1.381617720401e-12      -7.065438762579e-15 
  106       3.750407713697e-10       1.191880430912e-13      -3.571734301902e-12       5.062310334136e-16       9.305945144980e-12       1.354193355393e-12      -6.930050474286e-15 
  107       3.791716434341e-10       1.211332738170e-13      -3.660407458215e-12       5.159999942266e-16       9.075931042150e-12       1.327576739581e-12      -6.823116098112e-15 
  108       3.833248640420e-10       1.230474997535e-13      -3.748730710311e-12       5.258752871670e-16       8.853243354794e-12       1.301754919139e-12      -6.741649191357e-15 
  109       3.875000420609e-10       1.249289464208e-13      -3.836641118079e-12       5.358575779069e-16       8.637761014737e-12       1.276708026018e-12      -6.682336249288e-15 
  110       3.916966670694e-10       1.267758450515e-13      -3.924075740058e-12       5.459475453583e-16       8.429305768967e-12       1.252409057740e-12      -6.641528313636e-15 
  111       3.959141051098e-10       1.285864336630e-13      -4.010971674529e-12       5.561458817671e-16       8.227640396985e-12       1.228823657186e-12      -6.615232581087e-15 
  112       4.001515944399e-10       1.303589581294e-13      -4.097266100616e-12       5.664532928072e-16       8.032466928156e-12       1.205909892392e-12      -6.599104011775e-15 
  113       4.044082412860e-10       1.320916732537e-13      -4.182896319387e-12       5.768704976738e-16       7.843424859056e-12       1.183618036337e-12      -6.588436937779e-15 
  114       4.086830155949e-10       1.337828438402e-13      -4.267799794948e-12       5.873982291777e-16       7.660089370825e-12       1.161890346739e-12      -6.578156671614e-15 
  115       4.129747467863e-10       1.354307457659e-13      -4.351914195547e-12       5.980372338390e-16       7.481969546515e-12       1.140660845843e-12      -6.562811114726e-15 
  116       4.172822918599e-10       1.370336947727e-13      -4.435175749240e-12       6.087882678003e-16       7.308616038914e-12       1.119870506024e-12      -6.537687865132e-15 
  117       4.216050719845e-10       1.385901345198e-13      -4.517513996233e-12       6.196520838022e-16       7.139962735931e-12       1.099515371937e-12      -6.502337564637e-15 
  118       4.259425934756e-10       1.400985612997e-13      -4.598856472735e-12       6.306294427931e-16       6.976023481091e-12       1.079603902828e-12      -6.457465160187e-15 
  119       4.302942785835e-10       1.415574985794e-13      -4.679130365205e-12       6.417211180246e-16       6.816785533902e-12       1.060142007155e-12      -6.403844277332e-15 
  120       4.346594627699e-10       1.429654983180e-13      -4.758262536553e-12       6.529278951082e-16       6.662208754943e-12       1.041132958595e-12      -6.342318780074e-15 
  121       4.390373919840e-10       1.443211422836e-13      -4.836179552336e-12       6.642505720722e-16       6.512224790946e-12       1.022577312050e-12      -6.273804330729e-15 
  122       4.434272199388e-10       1.456230433707e-13      -4.912807706951e-12       6.756899594188e-16       6.366736259872e-12       1.004472819653e-12      -6.199289949781e-15 
  123       4.478280053876e-10       1.468698469171e-13      -4.988073049838e-12       6.872468801809e-16       6.225615935999e-12       9.868143467713e-13      -6.119839575739e-15 
  124       4.522387093999e-10       1.480602320214e-13      -5.061901411670e-12       6.989221699788e-16       6.088705935001e-12       9.695937880173e-13      -6.036593624994e-15 
  125       4.566581926380e-10       1.491929128601e-13      -5.134218430554e-12       7.107166770772e-16       5.955816899030e-12       9.527999832500e-13      -5.950770551676e-15 
  126       4.610852126331e-10       1.502666400044e-13      -5.204949578226e-12       7.226312624424e-16       5.826727181796e-12       9.364186335829e-13      -5.863668407509e-15 
  127       4.655184210617e-10       1.512802017383e-13      -5.274020186250e-12       7.346667997988e-16       5.701182033653e-12       9.204322173896e-13      -5.776666401669e-15 
  128       4.699563610217e-10       1.522324253748e-13      -5.341355472210e-12       7.468241756858e-16       5.578892786675e-12       9.048199063099e-13      -5.691226460639e-15 
  129       4.743976271149e-10       1.531222276429e-13      -5.406881986727e-12       7.591043020548e-16       5.459598917385e-12       8.895623326385e-13      -5.608607575557e-15 
  130       4.788413713347e-10       1.539487692978e-13      -5.470532078329e-12       7.715081555002e-16       5.343263663528e-12       8.746566612027e-13      -5.528970101278e-15 
  131       4.832868477860e-10       1.547113200396e-13      -5.532239970167e-12       7.840367424595e-16       5.229898426568e-12       8.601030198541e-13      -5.452175688235e-15 
  132       4.877332533104e-10       1.554092126165e-13      -5.591940419112e-12       7.966910872047e-16       5.119501456247e-12       8.458997475001e-13      -5.378065196557e-15 
  133       4.921797259270e-10       1.560418444931e-13      -5.649568752115e-12       8.094722319884e-16       5.012057485604e-12       8.320433448251e-13      -5.306458200744e-15 
  134       4.966253432744e-10       1.566086795185e-13      -5.705060902576e-12       8.223812371908e-16       4.907537365981e-12       8.185284250106e-13      -5.237152494332e-15 
  135       5.010691210514e-10       1.571092495951e-13      -5.758353446702e-12       8.354191814663e-16       4.805897702038e-12       8.053476644563e-13      -5.169923594560e-15 
