# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   64       2.262155986788e-10       3.443928993405e-14      -4.046196667307e-13       0.000000000000e+00       3.255498535199e-11       3.897264844671e-12      -8.409002876830e-15 
   65       2.291456642033e-10       3.604251928889e-14      -4.532567947937e-13       0.000000000000e+00       3.140571866527e-11       3.776191967350e-12      -8.628073653777e-15 
   66       2.321044324146e-10       3.768201792200e-14      -5.036385116017e-13       0.000000000000e+00       3.031148231449e-11       3.660393221280e-12      -8.788880475445e-15 
   67       2.350921290290e-10       3.935670718331e-14      -5.557524763652e-13       0.000000000000e+00       2.926601318950e-11       3.549189822041e-12      -8.908878690226e-15 
   68       2.381087348714e-10       4.106551456052e-14      -6.095846228852e-13       0.000000000000e+00       2.826301263123e-11       3.441913338747e-12      -9.005132426500e-15 
   69       2.411554271940e-10       4.280775705668e-14      -6.651202689859e-13       0.000000000000e+00       2.730174613858e-11       3.338544591567e-12      -9.084812641083e-15 
   70       2.442333539629e-10       4.458283065147e-14      -7.223432152763e-13       0.000000000000e+00       2.638243421077e-11       3.239188979801e-12      -9.152945755106e-15 
   71       2.473431698178e-10       4.639009793707e-14      -7.812354181351e-13       0.000000000000e+00       2.550455872471e-11       3.143884112070e-12      -9.215235719486e-15 
   72       2.504850045089e-10       4.822888827682e-14      -8.417769887407e-13       0.000000000000e+00       2.466682474305e-11       3.052596116529e-12      -9.278088790423e-15 
   73       2.536584313323e-10       5.009849796391e-14      -9.039461920991e-13       0.000000000000e+00       2.386712232234e-11       2.965215951083e-12      -9.348638304906e-15 
   74       2.568624355666e-10       5.199819038007e-14      -9.677194460735e-13       0.000000000000e+00       2.310248832114e-11       2.881555713601e-12      -9.434769456207e-15 
   75       2.600953829091e-10       5.392719615424e-14      -1.033071320413e-12       0.000000000000e+00       2.236906820819e-11       2.801344952123e-12      -9.545144069388e-15 
   76       2.633556707752e-10       5.588457146222e-14      -1.099971242470e-12       0.000000000000e+00       2.166307324752e-11       2.724301608267e-12      -9.686513421768e-15 
   77       2.666438890850e-10       5.786874274324e-14      -1.168372922966e-12       0.000000000000e+00       2.098393799082e-11       2.650367939243e-12      -9.855036215445e-15 
   78       2.699609979923e-10       5.987787886283e-14      -1.238222991242e-12       0.000000000000e+00       2.033167185722e-11       2.579511113634e-12      -1.004341505167e-14 
   79       2.733076627001e-10       6.191002290079e-14      -1.309464050108e-12       0.000000000000e+00       1.970589734313e-11       2.511650270381e-12      -1.024343759662e-14 
   80       2.766842358991e-10       6.396308940089e-14      -1.382034607343e-12       0.000000000000e+00       1.910583224134e-11       2.446654359408e-12      -1.044594574605e-14 
   81       2.800907402069e-10       6.603486162068e-14      -1.455869007187e-12       0.000000000000e+00       1.853027186015e-11       2.384339982249e-12      -1.064080478996e-14 
   82       2.835268506066e-10       6.812298878120e-14      -1.530897361847e-12       0.000000000000e+00       1.797757124257e-11       2.324469232678e-12      -1.081687257729e-14 
   83       2.869918768859e-10       7.022498331671e-14      -1.607045482982e-12       0.000000000000e+00       1.744562738537e-11       2.266747537335e-12      -1.096196868052e-14 
   84       2.904851364816e-10       7.233846714157e-14      -1.684244090874e-12       0.000000000000e+00       1.693239056601e-11       2.210893288734e-12      -1.106528537201e-14 
   85       2.940071825000e-10       7.446196338302e-14      -1.762458346083e-12       0.000000000000e+00       1.643753466732e-11       2.156864737783e-12      -1.112514733038e-14 
   86       2.975587480251e-10       7.659423146870e-14      -1.841663110679e-12       0.000000000000e+00       1.596103244438e-11       2.104666931022e-12      -1.114248777506e-14 
   87       3.011403629761e-10       7.873403119319e-14      -1.921834191995e-12       0.000000000000e+00       1.550264227949e-11       2.054282323816e-12      -1.111853108306e-14 
   88       3.047523431074e-10       8.088012415289e-14      -2.002948430056e-12       0.000000000000e+00       1.506189929387e-11       2.005669827580e-12      -1.105480299243e-14 
   89       3.083947790087e-10       8.303127518097e-14      -2.084983784999e-12       0.000000000000e+00       1.463810645937e-11       1.958763856997e-12      -1.095314080581e-14 
   90       3.120675251059e-10       8.518625378225e-14      -2.167919424501e-12       0.000000000000e+00       1.423032571019e-11       1.913473377241e-12      -1.081570359392e-14 
   91       3.157701886605e-10       8.734383556809e-14      -2.251735811199e-12       0.000000000000e+00       1.383736905453e-11       1.869680951201e-12      -1.064498239912e-14 
   92       3.195021187707e-10       8.950280369135e-14      -2.336414790117e-12       0.000000000000e+00       1.345778968638e-11       1.827241786700e-12      -1.044381043887e-14 
   93       3.232626561676e-10       9.166183020157e-14      -2.421930773936e-12       0.000000000000e+00       1.309022539094e-11       1.786020085043e-12      -1.021539005479e-14 
   94       3.270519494732e-10       9.381909658197e-14      -2.508222592414e-12       0.000000000000e+00       1.273450714746e-11       1.746006409648e-12      -9.963356033503e-15 
